,Id,SalePrice
0,1460,152133.14413197068
1,1461,120612.93548435757
2,1462,162232.01131729907
3,1463,176229.29465853382
4,1464,181613.59669820222
5,1465,201954.7559772147
6,1466,173143.94000724272
7,1467,169992.09792778004
8,1468,162972.10800488002
9,1469,188350.21956064206
10,1470,128081.325905015
11,1471,207430.6488789922
12,1472,98932.15046268218
13,1473,91249.50742857263
14,1474,151905.71703874387
15,1475,137369.92728352823
16,1476,345193.9959623706
17,1477,264211.3751993231
18,1478,285676.5724331971
19,1479,260877.48587811238
20,1480,514189.5692880537
21,1481,318863.8979142967
22,1482,214445.19453784334
23,1483,169525.27293094847
24,1484,163739.12109648742
25,1485,168842.20550315175
26,1486,191784.44287330547
27,1487,344368.61738499295
28,1488,241072.0291555869
29,1489,196573.13885846914
30,1490,211604.1972356431
31,1491,191746.98997717912
32,1492,96274.27418516077
33,1493,187330.6654271839
34,1494,289839.34943387867
35,1495,295720.9317485571
36,1496,231739.3287600501
37,1497,186383.75615455865
38,1498,161920.28496136543
39,1499,165218.52939388042
40,1500,153505.98408581768
41,1501,164314.2785923785
42,1502,151160.1038935904
43,1503,298282.90628338343
44,1504,237667.47494537322
45,1505,224950.76341180695
46,1506,193801.59571836673
47,1507,237582.09270850188
48,1508,193305.04718642574
49,1509,171032.91199295316
50,1510,147637.6048729618
51,1511,144495.80476770297
52,1512,173322.48256710992
53,1513,152054.99722835462
54,1514,171028.28943480222
55,1515,200353.84442182048
56,1516,164728.34443360916
57,1517,160460.4210403336
58,1518,137972.76310460514
59,1519,229239.14270234486
60,1520,135566.04825590627
61,1521,140201.46606929778
62,1522,160940.43970892584
63,1523,111541.3261352185
64,1524,119216.04824962893
65,1525,122622.93689385886
66,1526,127097.24893305603
67,1527,108960.3439040912
68,1528,136288.8178004026
69,1529,145235.1438917861
70,1530,175474.9103845926
71,1531,92794.1231055385
72,1532,105239.6745956638
73,1533,151225.38026437775
74,1534,116187.63437659519
75,1535,148343.3700777499
76,1536,106023.23455541479
77,1537,76033.54247159265
78,1538,192462.8147107435
79,1539,234147.1421805779
80,1540,94618.95281756044
81,1541,148309.596620192
82,1542,133094.93760633454
83,1543,222540.16549798375
84,1544,72213.55657750355
85,1545,109408.35718609854
86,1546,117047.84613051558
87,1547,127975.96762809518
88,1548,132001.28019390733
89,1549,116034.93533474994
90,1550,130856.07554520507
91,1551,119711.86163683272
92,1552,134172.50376300313
93,1553,154170.35825815087
94,1554,119022.75885618736
95,1555,167836.2337229298
96,1556,77465.55437479187
97,1557,107053.19408585355
98,1558,103162.5663425025
99,1559,95349.80420789549
100,1560,135827.14811308685
101,1561,128888.15377286615
102,1562,123344.0273806622
103,1563,119834.45161529935
104,1564,156664.94443763554
105,1565,143405.9046820257
106,1566,216579.52954155294
107,1567,76719.60225230838
108,1568,224117.29639279167
109,1569,135519.6873349887
110,1570,125694.04096648656
111,1571,131541.03632178993
112,1572,155238.6028343238
113,1573,251390.5226947995
114,1574,118287.19422069368
115,1575,229714.20738680282
116,1576,216487.53985768554
117,1577,186463.94667805653
118,1578,154817.5673670909
119,1579,144237.10886662404
120,1580,192051.9879704221
121,1581,144896.0417748663
122,1582,123834.43140063598
123,1583,342777.25327604444
124,1584,236146.13571002774
125,1585,141278.64702304543
126,1586,82299.88069522183
127,1587,98907.16108263125
128,1588,154421.2825102835
129,1589,97343.8950123556
130,1590,127074.27631367688
131,1591,98864.01357687703
132,1592,117884.2638210366
133,1593,129644.36695641672
134,1594,142130.7818101788
135,1595,111951.44274680613
136,1596,232689.56735611978
137,1597,203748.72313354426
138,1598,213210.7767403096
139,1599,203639.50326227656
140,1600,186002.7761616819
141,1601,73375.17435061044
142,1602,117543.35604607669
143,1603,82232.0080919857
144,1604,270481.09804320004
145,1605,258311.7342074272
146,1606,155163.7529331048
147,1607,180569.7990452976
148,1608,207544.40633984626
149,1609,180233.75763844978
150,1610,152701.2573721444
151,1611,143378.4064309538
152,1612,173209.55607574317
153,1613,157656.5389079274
154,1614,126966.75517292095
155,1615,90161.13457235464
156,1616,70616.93941276963
157,1617,94944.82733110416
158,1618,125610.91662441747
159,1619,135284.23301290325
160,1620,158422.1419236185
161,1621,135991.00176279145
162,1622,144228.21072552062
163,1623,297449.1164576472
164,1624,208210.59906189705
165,1625,131956.700935249
166,1626,163553.6792845308
167,1627,184763.5518961873
168,1628,288669.29928575817
169,1629,181053.75888749183
170,1630,375608.34802805056
171,1631,232005.26881038418
172,1632,258067.22207750776
173,1633,165504.49507339345
174,1634,177792.80692057213
175,1635,177384.08715082874
176,1636,145037.76223697665
177,1637,176536.6829273936
178,1638,215649.03082493562
179,1639,187797.60945111347
180,1640,255934.52426427638
181,1641,184728.35680739584
182,1642,205088.26946406576
183,1643,217915.84421683053
184,1644,221451.92025921878
185,1645,174237.87622984985
186,1646,151182.8003956525
187,1647,159296.52074120642
188,1648,131934.396077522
189,1649,134012.98160232097
190,1650,120256.47800182765
191,1651,128649.37796213584
192,1652,96509.60718393011
193,1653,100734.16462114359
194,1654,150833.2401511621
195,1655,151058.34162506225
196,1656,144886.83299166473
197,1657,148177.904775394
198,1658,151355.36817902306
199,1659,140981.1099020227
200,1660,152072.6955400915
201,1661,486782.08664782194
202,1662,417847.14103702095
203,1663,387928.2545623101
204,1664,473509.1603003837
205,1665,290693.508389245
206,1666,318706.9569866014
207,1667,350840.16468287783
208,1668,315629.2325140234
209,1669,295003.39260032773
